ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
11356,College Point,Queens,604,2589.75,180.08,16.86
11357,Whitestone,Queens,873,2183.83,260.16,14.1
11358,Auburndale/Murray Hill,Queens,617,1736,120.99,11.21
11360,Bayside (North),Queens,334,1770.65,143.14,10.53
11361,Bayside (North)/Bayside (South),Queens,482,1723.15,203.78,11.78
11362,Douglaston-Little Neck,Queens,342,1928.06,202.95,12.91
11363,Douglaston-Little Neck,Queens,103,1438.74,69.84,10.88
11364,Bayside (South)/Oakland Gardens,Queens,484,1400.36,101.27,10.74
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,900,2043.1,152.1,13.93
11366,Fresh Meadows/Hillcrest,Queens,404,2932.34,195.97,18.52
11367,Kew Gardens Hills/Pomonok,Queens,1110,2640.39,159.37,16.18
11368,Corona/North Corona,Queens,4917,4406.15,396.08,22.06
11369,Airport/East Elmhurst,Queens,1690,4634.93,490.92,23.11
11370,Jackson Heights/Rikers Island,Queens,1403,4282.84,195.37,22.05
11372,Jackson Heights,Queens,2703,4320.45,407.59,19.28
11373,Elmhurst,Queens,3396,3656.5,317.63,18.61
11374,Rego Park,Queens,1126,2677.92,235.45,16.31
11375,Forest Hills,Queens,1509,2138.82,256.54,14.06
11377,Woodside,Queens,2409,2785.98,224.36,15.08
11378,Maspeth,Queens,787,2275,211.02,14.32
11379,Middle Village,Queens,860,2375.98,267.99,14.72
11385,Glendale/Ridgewood,Queens,2323,2256.88,136.99,15.61
11411,Cambria Heights,Queens,715,3488.78,243.97,23.02
11412,St. Albans,Queens,1297,3296.32,231.28,21.85
11413,Laurelton/Rosedale,Queens,1378,3157.08,233.69,22.03
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,834,2950.59,219.35,20.48
11415,Kew Gardens,Queens,556,2890.68,265.15,16.9
11416,Ozone Park,Queens,753,2829.29,206.65,20.66
11417,Ozone Park,Queens,923,2951.65,147.1,19
11418,Richmond Hill,Queens,1176,3086.2,278.18,19.89
11419,Richmond Hill/South Ozone Park,Queens,1275,2507.43,188.79,21.19
11420,South Ozone Park,Queens,1432,2957.72,221,21.22
11421,Woodhaven,Queens,1253,2968.53,244.02,19.9
11422,Rosedale,Queens,1044,3095.94,198.69,21.2
11423,Hollis/Holliswood,Queens,1128,3520.47,327.7,22.06
11426,Bellerose,Queens,517,2538.88,166.97,18.62
11427,Bellerose/Hollis Hills/Holliswood,Queens,822,3541.21,219.71,19.85
11428,Queens Village,Queens,696,3601.1,279.4,22.44
11429,Queens Village,Queens,1005,3584.63,263.94,21.34
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1918,3035.03,398.76,19.41
11433,Jamaica,Queens,996,2763.92,219.23,19.66
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2196,3251.59,288.73,21.04
11435,Briarwood/Jamaica,Queens,1712,2968.93,258.39,19.38
11436,South Jamaica/South Ozone Park,Queens,563,2705.77,216.27,20.16
11691,Edgemere/Far Rockaway,Queens,2537,3917.6,569.8,18.51
11692,Arverne/Edgemere,Queens,666,3310.1,462.22,17.26
11693,Arverne/Broad Channel,Queens,344,2778.39,234.22,18.08
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,757,3718.85,432.31,19.42
11697,Breezy Point,Queens,111,3138.53,113.1,8.27
